x,y
1,64
2,64
3,352
4,448
5,448
6,512
7,704
8,1088
9,1312
10,1376
11,1440
12,1472
13,1472
14,1536
15,1568
16,1856
17,1920
18,2016
19,2080
20,2240
21,2304
22,2368
23,2368
24,2464
25,2528
26,2624
27,2816
28,2816
29,3008
30,3200
31,3200
32,3232
33,3392
34,3424
35,3488
36,3776
37,3936
38,4128
39,4320
40,4320
41,4352
42,4736
43,4800
44,4896
45,4928
46,5024
47,5088
48,5664
49,5728
50,6080
51,6112
52,6272
53,6624
54,6688
55,6784
56,6912
57,6912
58,6976
59,7136
60,7264
61,7360
62,7456
63,7456
64,7520
65,7552
66,7552
67,7552
68,7712
69,7712
70,8096
71,8448
72,8896
73,8992
74,8992
75,9024
76,9216
77,9344
78,9344
79,9376
80,9408
81,9408
82,9536
83,9760
84,9824
85,10048
86,10208
87,10400
88,10560
89,10880
90,10912
91,10944
92,10944
93,10944
94,10976
95,11008
96,11072
97,11104
98,11136
99,11232
100,11392
101,11712
102,11968
103,12000
104,12576
105,12576
106,12608
107,12640
108,12736
109,12800
110,12896
111,13024
112,13056
113,13088
114,13216
115,13280
116,13568
117,13632
118,13696
119,13856
120,13888
121,14048
122,14048
123,14080
124,14240
125,14400
126,14400
127,14560
128,14592
129,14720
130,14880
131,14944
132,15136
133,15264
134,15264
135,15456
136,15488
137,15488
138,15520
139,15520
140,15520
141,15584
142,15648
143,15744
144,15840
145,15904
146,15968
147,16160
148,16192
149,16256
150,16256
151,16256
152,16384
153,16448
154,16448
155,16544
156,16576
157,16576
158,16640
159,16736
160,16768
161,16800
162,17088
163,17088
164,17280
165,17344
166,17376
167,17376
168,17440
169,17600
170,17728
171,17888
172,18016
173,18048
174,18144
175,18144
176,18240
177,18400
178,18400
179,18432
180,18464
181,18496
182,18624
183,18784
184,18816
185,18944
186,19008
187,19520
188,19552
189,19616
190,19936
191,19936
192,19968
193,20000
194,20128
195,20160
196,20160
197,20320
198,20384
199,20416
200,20544
201,20704
202,20832
203,20928
204,21152
205,21280
206,21600
207,21696
208,21760
209,21920
210,22080
211,22176
212,22208
213,22240
214,22240
215,22272
216,22336
217,22368
218,22624
219,22624
220,22656
221,22720
222,22720
223,22976
224,23104
225,23168
226,23424
227,23520
228,23552
229,23872
230,24064
231,24128
232,24160
233,24224
234,24224
235,24224
236,24608
237,24640
238,24736
239,24768
240,24768
241,24832
242,24896
243,24928
244,25216
245,25440
246,25824
247,26272
248,26304
249,26368
250,26656
251,26656
252,27232
253,27232
254,27776
255,27872
256,27904
257,27968
258,28064
259,28128
260,28160
261,28512
262,28544
263,28576
264,28672
265,28672
266,28704
267,28800
268,29088
269,29280
270,29376
271,29664
272,29760
273,29760
274,29888
275,29920
276,29920
277,30208
278,30272
279,30432
280,30656
281,30720
282,30752
283,30912
284,31104
285,31232
286,31328
287,31328
288,31616
289,32000
290,32160
291,32320
292,32352
293,32384
294,32416
295,32576
296,32576
297,32608
298,32640
299,32736
300,32832
301,32896
302,32928
303,33088
304,33120
305,33152
306,33184
307,33280
308,33472
309,33536
310,33664
311,33728
312,33824
313,33920
314,34016
315,34112
316,34112
317,34176
318,34240
319,34272
320,34304
321,34336
322,34560
323,34656
324,34688
325,34784
326,34784
327,34976
328,35040
329,35136
330,35648
331,35712
332,35744
333,35840
334,36000
335,36000
336,36064
337,36096
338,36224
339,36320
340,36416
341,36416
342,36480
343,36576
344,36672
345,36736
346,36768
347,36800
348,37024
349,37152
350,37184
351,37472
352,37536
353,37696
354,37792
355,37952
356,37952
357,38048
358,38176
359,38464
360,38464
361,38496
362,38816
363,38816
364,38976
365,39200
366,39232
367,39264
368,39264
369,39328
370,39584
371,39648
372,39744
373,39776
374,39872
375,40192
376,40192
377,40224
378,40480
379,40576
380,40704
381,40832
382,40992
383,41024
384,41280
385,41312
386,41440
387,41504
388,41696
389,41696
390,41824
391,41856
392,42080
393,42144
394,42144
395,42176
396,42176
397,42208
398,42240
399,42304
400,42464
401,42464
402,43008
403,43104
404,43232
405,43424
406,43520
407,43552
408,43552
409,43776
410,43776
411,43872
412,43936
413,44000
414,44128
415,44160
416,44352
417,44448
418,44480
419,44576
420,44640
421,44928
422,45056
423,45056
424,45344
425,45376
426,45408
427,45600
428,45632
429,45760
430,45920
431,45984
432,46016
433,46240
434,46624
435,46656
436,46656
437,46752
438,46784
439,46816
440,46816
441,46912
442,46976
443,47008
444,47040
445,47072
446,47072
447,47296
448,47328
449,47488
450,47488
451,47648
452,47744
453,47744
454,47776
455,47776
456,47872
457,48032
458,48096
459,48096
460,48128
461,48320
462,48384
463,48480
464,48512
465,48608
466,48608
467,48768
468,48864
469,48992
470,49120
471,49248
472,49280
473,49344
474,49376
475,49408
476,49504
477,49504
478,49568
479,49664
480,49760
481,49888
482,49984
483,49984
484,50016
485,50048
486,50112
487,50208
488,50240
489,50240
490,50400
491,50528
492,50848
493,50912
494,50976
495,51456
496,51616
497,51680
498,51776
499,51936
500,52000
501,52128
502,52160
503,52384
504,52448
505,52672
506,52736
507,52992
508,53056
509,53152
510,53632
511,53632
512,53696
513,53696
514,53792
515,53792
516,53888
517,53920
518,53920
519,53952
520,54080
521,54112
522,54112
523,54176
524,54208
525,54336
526,54368
527,54368
528,54432
529,54592
530,54784
531,54976
532,55072
533,55264
534,55264
535,55360
536,55392
537,55424
538,55552
539,55616
540,55680
541,55680
542,55712
543,55744
544,55776
545,55776
546,55808
547,56000
548,56064
549,56128
550,56224
551,56352
552,56352
553,56416
554,56544
555,56640
556,56928
557,57088
558,57152
559,57248
560,57248
561,57280
562,57280
563,57312
564,57312
565,57600
566,57632
567,57664
568,57952
569,58048
570,58048
571,58112
572,58240
573,58432
574,58720
575,58912
576,59008
577,59072
578,59136
579,59168
580,59296
581,59296
582,59392
583,59456
584,59616
585,59712
586,59840
587,59904
588,59936
589,60096
590,60160
591,60192
592,60288
593,60288
594,60384
595,60448
596,60512
597,60640
598,60640
599,60704
600,60960
601,61440
602,61472
603,61504
604,61568
605,61696
606,61696
607,61728
608,62016
609,62144
610,62144
611,62176
612,62272
613,62368
614,62368
615,62432
616,62496
617,62528
618,63008
619,63072
620,63072
621,63104
622,63168
623,63232
624,63360
625,63392
626,63424
627,63488
628,63680
629,63840
630,63904
631,63936
632,63968
633,64352
634,64384
635,64512
636,64608
637,64768
638,64832
639,64928
640,64992
641,65152
642,65472
643,65536
644,65760
645,66208
646,66368
647,66368
648,66976
649,67168
650,67200
651,67200
652,67232
653,67264
654,67264
655,67296
656,67328
657,67360
658,67424
659,67776
660,67808
661,67936
662,67968
663,68064
664,68160
665,68160
666,68224
667,68320
668,68544
669,68672
670,68800
671,68800
672,68832
673,69056
674,69344
675,69440
676,69472
677,69472
678,69504
679,69664
680,69696
681,69728
682,69760
683,69792
684,69824
685,69888
686,69984
687,70112
688,70240
689,70464
690,70656
691,70688
692,70720
693,70752
694,70784
695,70880
696,70944
697,71040
698,71136
699,71520
700,71744
701,71776
702,71808
703,71808
704,71904
705,72000
706,72288
707,72320
708,72352
709,72416
710,72448
711,72864
712,72864
713,72896
714,72928
715,73120
716,73312
717,73408
718,73504
719,73568
720,73728
721,73888
722,74016
723,74176
724,74208
725,74272
726,74304
727,74496
728,74496
729,74560
730,74720
731,74784
732,75008
733,75104
734,75200
735,75200
736,75392
737,75456
738,75680
739,75680
740,75744
741,75936
742,75968
743,75968
744,76064
745,76064
746,76288
747,76352
748,76608
749,76704
750,77088
751,77312
752,77664
753,77664
754,77696
755,77856
756,77856
757,78048
758,78144
759,78208
760,78272
761,78368
762,78368
763,78432
764,78432
765,78528
766,78816
767,78848
768,78848
769,78880
770,78912
771,79136
772,79136
773,79136
774,79296
775,79392
776,79488
777,79616
778,79776
779,79968
780,79968
781,80128
782,80160
783,80256
784,80480
785,80512
786,80640
787,80704
788,80768
789,80832
790,80960
791,80992
792,81216
793,81408
794,81408
795,81440
796,81632
797,81792
798,81824
799,81952
800,82080
801,82176
802,82208
803,82208
804,82240
805,82304
806,82528
807,82752
808,82816
809,82912
810,82944
811,82976
812,82976
813,83008
814,83296
815,83392
816,83488
817,83648
818,83744
819,83744
820,83808
821,83936
822,83968
823,84000
824,84064
825,84608
826,84672
827,84832
828,84928
829,84960
830,85088
831,85152
832,85152
833,85280
834,85280
835,85344
836,85344
837,85472
838,85952
839,85984
840,86080
841,86144
842,86336
843,86336
844,86336
845,86464
846,86464
847,86560
848,86752
849,86784
850,86848
851,86880
852,86880
853,87008
854,87072
855,87168
856,87168
857,87328
858,87424
859,87648
860,87744
861,87936
862,87968
863,88064
864,88096
865,88128
866,88192
867,88192
868,88288
869,88320
870,88352
871,88448
872,88608
873,88608
874,88768
875,88768
876,88832
877,88832
878,88864
879,88864
880,88928
881,89184
882,89248
883,89248
884,89280
885,89376
886,89376
887,89536
888,89568
889,89696
890,89728
891,89760
892,89760
893,89792
894,89952
895,90080
896,90112
897,90176
898,90272
899,90368
900,90496
901,90528
902,90784
903,90816
904,90880
905,90912
906,91040
907,91104
908,91520
909,91712
910,91712
911,91872
912,91936
913,91968
914,92224
915,92288
916,92320
917,92512
918,92544
919,92576
920,92704
921,92768
922,92768
923,92832
924,92992
925,92992
926,93056
927,93280
928,93440
929,93440
930,93472
931,93632
932,93760
933,93888
934,93920
935,93920
936,93920
937,93952
938,93984
939,94240
940,94368
941,94400
942,94496
943,94784
944,94816
945,94816
946,94912
947,95008
948,95136
949,95136
950,95328
951,95360
952,95872
953,96000
954,96096
955,96256
956,96288
957,96384
958,96416
959,96832
960,96832
961,96832
962,96928
963,97152
964,97152
965,97248
966,97408
967,97568
968,97760
969,97792
970,97792
971,97824
972,97856
973,98080
974,98272
975,98464
976,98560
977,98560
978,98784
979,99072
980,99136
981,99168
982,99328
983,99328
984,99552
985,99584
986,99968
987,100032
988,100096
989,100416
990,100480
991,100512
992,100864
993,100992
994,101152
995,101152
996,101312
997,101408
998,101408
999,101536
1000,101632
1001,101760
1002,101824
1003,101920
1004,101920
1005,102048
1006,102080
1007,102240
1008,102240
1009,102272
1010,102464
1011,102496
1012,102656
1013,103072
1014,103104
1015,103168
1016,103200
1017,103200
1018,103296
1019,103360
1020,103360
1021,103392
1022,103424
1023,103456
1024,103584
1025,103616
1026,103680
1027,103712
1028,103744
1029,103840
1030,104192
1031,104288
1032,104416
1033,104416
1034,104480
1035,104512
1036,104512
1037,104640
1038,104704
1039,104768
1040,104896
1041,104992
1042,105184
1043,105472
1044,105568
1045,105632
1046,105664
1047,105792
1048,106016
1049,106016
1050,106048
1051,106080
1052,106336
1053,106336
1054,106432
1055,106432
1056,106592
1057,106624
1058,106816
1059,107040
1060,107040
1061,107104
1062,107360
1063,107392
1064,107520
1065,107680
1066,107776
1067,107776
1068,107808
1069,107840
1070,108032
1071,108064
1072,108160
1073,108256
1074,108512
1075,108608
1076,108800
1077,109024
1078,109024
1079,109056
1080,109152
1081,109184
1082,109184
1083,109216
1084,109408
1085,109440
1086,109472
1087,109472
1088,109536
1089,109568
1090,109632
1091,109632
1092,109696
1093,110048
1094,110048
1095,110144
1096,110208
1097,110208
1098,110400
1099,110656
1100,110656
1101,110720
1102,110816
1103,110880
1104,110880
1105,110912
1106,110912
1107,111040
1108,111296
1109,111552
1110,111552
1111,111680
1112,111904
1113,112064
1114,112096
1115,112224
1116,112288
1117,112320
1118,112576
1119,112960
1120,113056
1121,113280
1122,113376
1123,113536
1124,113600
1125,113760
1126,113792
1127,113824
1128,113856
1129,113952
1130,113952
1131,113984
1132,114144
1133,114208
1134,114368
1135,114432
1136,114464
1137,114528
1138,114624
1139,114688
1140,114752
1141,114848
1142,114848
1143,115328
1144,115328
1145,115392
1146,115392
1147,115456
1148,115744
1149,115808
1150,115968
1151,116096
1152,116128
1153,116160
1154,116192
1155,116224
1156,116512
1157,116544
1158,116608
1159,116672
1160,116864
1161,116928
1162,117024
1163,117088
1164,117120
1165,117376
1166,117408
1167,117568
1168,117664
1169,117760
1170,117824
1171,118016
1172,118080
1173,118336
1174,118368
1175,118368
1176,118432
1177,118496
1178,118688
1179,118688
1180,118688
1181,118688
1182,118944
1183,119040
1184,119200
1185,119328
1186,119456
1187,119520
1188,119616
1189,119648
1190,119840
1191,119872
1192,119936
1193,120128
1194,120160
1195,120256
1196,120288
1197,120288
1198,120320
1199,120320
1200,120352
1201,120416
1202,120512
1203,120736
1204,120864
1205,120896
1206,120992
1207,121056
1208,121056
1209,121088
1210,121152
1211,121152
1212,121184
1213,121216
1214,121312
1215,121568
1216,121984
1217,122272
1218,122304
1219,122336
1220,122368
1221,122496
1222,122656
1223,122720
1224,122944
1225,122976
1226,123008
1227,123040
1228,123040
1229,123136
1230,123360
1231,123360
1232,123392
1233,123520
1234,123584
1235,123616
1236,123872
1237,123936
1238,124064
1239,124096
1240,124320
1241,124736
1242,124800
1243,124864
1244,124896
1245,125024
1246,125024
1247,125056
1248,125120
1249,125184
1250,125216
1251,125440
1252,125440
1253,125504
1254,125888
1255,125920
1256,126016
1257,126176
1258,126432
1259,126496
1260,126496
1261,126624
1262,126880
1263,126912
1264,126912
1265,127040
1266,127072
1267,127104
1268,127648
1269,127712
1270,127904
1271,127936
1272,127968
1273,128000
1274,128384
1275,128448
1276,128448
1277,128480
1278,128704
1279,128832
1280,128864
1281,128960
1282,129024
1283,129184
1284,129248
1285,129248
1286,129312
1287,129472
1288,129696
1289,129696
1290,129888
1291,130400
1292,130624
1293,130752
1294,130816
1295,130912
1296,130912
1297,131104
1298,131168
1299,131200
1300,131232
1301,131296
1302,131392
1303,131488
1304,131616
1305,131968
1306,132032
1307,132128
1308,132288
1309,132320
1310,132352
1311,132384
1312,132512
1313,132544
1314,132608
1315,132640
1316,132672
1317,132736
1318,132736
1319,132768
1320,133152
1321,133280
1322,133344
1323,133536
1324,133600
1325,133632
1326,133760
1327,133760
1328,133824
1329,133856
1330,133888
1331,134016
1332,134048
1333,134208
1334,134368
1335,134496
1336,134624
1337,134720
1338,134752
1339,134880
1340,134976
1341,135104
1342,135168
1343,135264
1344,135296
1345,135392
1346,135392
1347,135424
1348,135680
1349,135744
1350,135840
1351,136000
1352,136032
1353,136032
1354,136256
1355,136352
1356,136416
1357,136544
1358,136544
1359,136576
1360,136672
1361,136768
1362,136832
1363,136896
1364,137024
1365,137120
1366,137184
1367,137376
1368,137408
1369,137664
1370,137760
1371,138208
1372,138240
1373,138336
1374,138400
1375,138496
1376,138496
1377,138496
1378,138560
1379,138560
1380,138720
1381,138880
1382,139200
1383,139232
1384,139296
1385,139456
1386,139520
1387,139552
1388,139616
1389,139808
1390,140064
1391,140224
1392,140224
1393,140352
1394,140416
1395,140416
1396,140544
1397,140576
1398,140576
1399,140640
1400,140736
1401,140864
1402,141152
1403,141216
1404,141280
1405,141536
1406,141696
1407,141728
1408,141952
1409,141952
1410,142176
1411,142272
1412,142656
1413,142688
1414,142784
1415,142816
1416,143008
1417,143040
1418,143136
1419,143296
1420,143296
1421,143392
1422,143392
1423,143456
1424,143520
1425,143616
1426,143616
1427,143648
1428,143808
1429,144064
1430,144096
1431,144256
1432,144288
1433,144416
1434,144512
1435,144896
1436,144960
1437,144992
1438,145024
1439,145088
1440,145152
1441,145184
1442,145184
1443,145248
1444,145440
1445,145504
1446,145568
1447,145664
1448,145888
1449,145920
1450,146016
1451,146176
1452,146432
1453,146528
1454,146560
1455,146592
1456,146592
1457,146720
1458,146720
1459,146752
1460,146816
1461,146880
1462,146880
1463,147136
1464,147168
1465,147168
1466,147392
1467,147520
1468,147552
1469,147648
1470,147776
1471,147776
1472,147872
1473,148224
1474,148480
1475,148768
1476,148832
1477,148896
1478,148928
1479,149120
1480,149152
1481,149408
1482,149440
1483,149632
1484,149728
1485,149792
1486,149792
1487,150080
1488,150144
1489,150144
1490,150432
1491,150464
1492,150528
1493,150560
1494,150656
1495,150784
1496,150976
1497,151040
1498,151072
1499,151168
1500,151296
1501,151360
1502,151360
1503,151392
1504,151424
1505,151808
1506,151968
1507,152224
1508,152288
1509,152448
1510,152640
1511,152640
1512,152704
1513,152768
1514,152864
1515,152960
1516,153024
1517,153216
1518,153600
1519,153696
1520,153792
1521,153920
1522,154048
1523,154336
1524,154368
1525,154496
1526,154688
1527,155072
1528,155072
1529,155232
1530,155264
1531,155392
1532,155392
1533,155520
1534,155520
1535,155744
1536,155904
1537,155904
1538,155936
1539,156000
1540,156096
1541,156160
1542,156224
1543,156256
1544,156352
1545,156384
1546,156576
1547,156640
1548,156672
1549,156864
1550,157120
1551,157152
1552,157152
1553,157184
1554,157216
1555,157312
1556,157600
1557,157632
1558,157792
1559,157888
1560,157984
1561,158048
1562,158240
1563,158336
1564,158336
1565,158656
1566,158720
1567,158752
1568,158752
1569,159136
1570,159136
1571,159232
1572,159232
1573,159264
1574,159392
1575,159552
1576,159584
1577,159904
1578,159968
1579,160320
1580,160352
1581,160384
1582,160544
1583,160576
1584,160672
1585,160736
1586,160736
1587,160800
1588,160864
1589,160864
1590,160896
1591,161376
1592,161728
1593,161920
1594,162208
1595,162208
1596,162336
1597,162368
1598,162752
1599,162816
1600,162944
1601,163104
1602,163104
1603,163136
1604,163136
1605,163360
1606,163360
1607,163392
1608,163424
1609,163424
1610,163520
1611,163648
1612,163744
1613,163744
1614,163808
1615,163872
1616,164160
1617,164256
1618,164448
1619,164480
1620,164544
1621,164576
1622,164672
1623,164704
1624,164736
1625,164864
1626,164928
1627,165088
1628,165088
1629,165376
1630,165376
1631,165440
1632,165760
1633,166080
1634,166080
1635,166304
1636,166432
1637,166432
1638,166464
1639,166624
1640,166784
1641,166880
1642,166944
1643,167104
1644,167104
1645,167136
1646,167328
1647,167392
1648,167616
1649,167840
1650,167872
1651,167968
1652,168032
1653,168192
1654,168192
1655,168352
1656,168384
1657,168704
1658,168896
1659,169184
1660,169184
1661,169216
1662,169344
1663,169376
1664,169472
1665,169536
1666,169568
1667,169888
1668,169888
1669,169920
1670,170048
1671,170112
1672,170208
1673,170304
1674,170336
1675,170368
1676,170432
1677,170592
1678,170592
1679,170656
1680,170656
1681,170880
1682,170912
1683,170912
1684,171104
1685,171232
1686,171264
1687,171296
1688,171392
1689,171456
1690,171520
1691,171776
1692,171968
1693,172128
1694,172352
1695,172384
1696,172480
1697,172512
1698,172576
1699,172608
1700,172736
1701,172992
1702,172992
1703,173120
1704,173248
1705,173280
1706,173472
1707,173536
1708,173760
1709,173888
1710,173920
1711,174048
1712,174368
1713,174688
1714,174752
1715,174752
1716,174848
1717,174880
1718,174976
1719,175104
1720,175232
1721,175328
1722,175392
1723,175456
1724,175616
1725,175776
1726,175904
1727,176000
1728,176064
1729,176160
1730,176192
1731,176256
1732,176288
1733,176384
1734,176576
1735,176672
1736,176704
1737,176800
1738,176928
1739,176960
1740,176960
1741,177120
1742,177120
1743,177184
1744,177216
1745,177312
1746,177312
1747,177376
1748,177408
1749,177536
1750,177952
1751,178048
1752,178048
1753,178048
1754,178144
1755,178304
1756,178336
1757,178592
1758,178656
1759,178880
1760,178880
1761,179008
1762,179168
1763,179296
1764,179392
1765,179616
1766,179776
1767,179776
1768,180000
1769,180032
1770,180032
1771,180256
1772,180384
1773,180832
1774,180832
1775,180864
1776,180960
1777,181024
1778,181216
1779,181248
1780,181344
1781,181664
1782,181824
1783,181920
1784,181952
1785,181952
1786,182208
1787,182400
1788,182560
1789,182816
1790,182880
